 Node   position   x[mm]   xp[mrad]   y[mm]   yp[mrad]  
                         HEBT1_START  0.00000    1.0000  1.0000  -1.0000  -1.0000
           HEBT1:HEBT1_START:1:drift  0.37375    1.3738  1.0000  -1.3738  -1.0000
           HEBT1:HEBT1_START:2:drift  0.74750    1.7475  1.0000  -1.7475  -1.0000
            HEBT_Mag:QV01_fringe_out  1.25250    2.4339  1.7606  -2.0765  -0.2825
         HEBT1:HEBT_Mag:QV01:1:drift  1.38320    2.6640  1.7606  -2.1134  -0.2825
       HEBT1:HEBT_Diag:BPM01:1:drift  1.87285    3.5261  1.7606  -2.2517  -0.2825
       HEBT1:HEBT_Diag:BPM01:2:drift  2.36250    4.3881  1.7606  -2.3900  -0.2825
        HEBT1:HEBT_Diag:WS01:1:drift  2.83950    5.2279  1.7606  -2.5248  -0.2825
        HEBT1:HEBT_Diag:WS01:2:drift  3.31650    6.0677  1.7606  -2.6595  -0.2825
        HEBT1:HEBT_Diag:WS01:3:drift  3.79350    6.9075  1.7606  -2.7942  -0.2825
        HEBT1:HEBT_Diag:WS01:4:drift  4.27050    7.7473  1.7606  -2.9290  -0.2825
        HEBT1:HEBT_Diag:WS01:5:drift  4.74750    8.5871  1.7606  -3.0637  -0.2825
            HEBT_Mag:QH02_fringe_out  5.25250    8.6602  -1.4757  -3.5011  -1.4766
         HEBT1:HEBT_Mag:QH02:1:drift  5.38320    8.4673  -1.4757  -3.6941  -1.4766
       HEBT1:HEBT_Diag:BPM02:1:drift  5.82810    7.8108  -1.4757  -4.3510  -1.4766
       HEBT1:HEBT_Diag:BPM02:2:drift  6.27300    7.1542  -1.4757  -5.0080  -1.4766
        HEBT1:HEBT_Diag:WS02:1:drift  6.76790    6.4239  -1.4757  -5.7387  -1.4766
        HEBT1:HEBT_Diag:WS02:2:drift  7.26280    5.6936  -1.4757  -6.4695  -1.4766
        HEBT1:HEBT_Diag:WS02:3:drift  7.75770    4.9633  -1.4757  -7.2002  -1.4766
        HEBT1:HEBT_Diag:WS02:4:drift  8.25260    4.2330  -1.4757  -7.9310  -1.4766
        HEBT1:HEBT_Diag:WS02:5:drift  8.74750    3.5027  -1.4757  -8.6618  -1.4766
            HEBT_Mag:QV03_fringe_out  9.25250    3.0660  -0.2809  -8.5890  1.7603
         HEBT1:HEBT_Mag:QV03:1:drift  9.38320    3.0293  -0.2809  -8.3589  1.7603
       HEBT1:HEBT_Diag:BPM03:1:drift  9.82810    2.9043  -0.2809  -7.5758  1.7603
       HEBT1:HEBT_Diag:BPM03:2:drift  10.27300    2.7794  -0.2809  -6.7926  1.7603
        HEBT1:HEBT_Diag:WS03:1:drift  10.76790    2.6404  -0.2809  -5.9214  1.7603
        HEBT1:HEBT_Diag:WS03:2:drift  11.26280    2.5014  -0.2809  -5.0502  1.7603
        HEBT1:HEBT_Diag:WS03:3:drift  11.75770    2.3624  -0.2809  -4.1791  1.7603
        HEBT1:HEBT_Diag:WS03:4:drift  12.25260    2.2234  -0.2809  -3.3079  1.7603
        HEBT1:HEBT_Diag:WS03:5:drift  12.74750    2.0844  -0.2809  -2.4367  1.7603
            HEBT_Mag:QH04_fringe_out  13.25250    1.7555  -1.0014  -1.7507  0.9986
         HEBT1:HEBT_Mag:QH04:1:drift  13.38320    1.6246  -1.0014  -1.6202  0.9986
       HEBT1:HEBT_Diag:BPM04:1:drift  13.82810    1.1791  -1.0014  -1.1759  0.9986
       HEBT1:HEBT_Diag:BPM04:2:drift  14.27300    0.7336  -1.0014  -0.7316  0.9986
        HEBT1:HEBT_Diag:WS04:1:drift  14.76790    0.2380  -1.0014  -0.2374  0.9986
        HEBT1:HEBT_Diag:WS04:2:drift  15.26280    -0.2576  -1.0014  0.2568  0.9986
        HEBT1:HEBT_Diag:WS04:3:drift  15.75770    -0.7531  -1.0014  0.7511  0.9986
        HEBT1:HEBT_Diag:WS04:4:drift  16.25260    -1.2487  -1.0014  1.2453  0.9986
        HEBT1:HEBT_Diag:WS04:5:drift  16.74750    -1.7443  -1.0014  1.7395  0.9986
            HEBT_Mag:QV05_fringe_out  17.25250    -2.4311  -1.7608  2.0685  0.2841
         HEBT1:HEBT_Mag:QV05:1:drift  17.38320    -2.6612  -1.7608  2.1057  0.2841
       HEBT1:HEBT_Diag:BPM05:1:drift  17.52019    -2.9024  -1.7608  2.1446  0.2841
        HEBT1:HEBT_Mag:DCV05:1:drift  17.98124    -3.7143  -1.7608  2.2756  0.2841
        HEBT1:HEBT_Mag:DCV05:2:drift  18.44228    -4.5261  -1.7608  2.4066  0.2841
        HEBT1:HEBT_Mag:DCV05:3:drift  18.90332    -5.3379  -1.7608  2.5376  0.2841
        HEBT1:HEBT_Mag:DCV05:4:drift  19.36437    -6.1497  -1.7608  2.6685  0.2841
        HEBT1:HEBT_Mag:DCV05:5:drift  19.82541    -6.9615  -1.7608  2.7995  0.2841
        HEBT1:HEBT_Mag:DCV05:6:drift  20.28646    -7.7733  -1.7608  2.9305  0.2841
        HEBT1:HEBT_Mag:DCV05:7:drift  20.74750    -8.5852  -1.7608  3.0615  0.2841
            HEBT_Mag:QH06_fringe_out  21.25250    -8.6585  1.4747  3.4995  1.4775
         HEBT1:HEBT_Mag:QH06:1:drift  21.38320    -8.4658  1.4747  3.6926  1.4775
       HEBT1:HEBT_Diag:BPM06:1:drift  21.52019    -8.2638  1.4747  3.8950  1.4775
        HEBT1:HEBT_Mag:DCH06:1:drift  21.98124    -7.5838  1.4747  4.5762  1.4775
        HEBT1:HEBT_Mag:DCH06:2:drift  22.44228    -6.9039  1.4747  5.2574  1.4775
        HEBT1:HEBT_Mag:DCH06:3:drift  22.90332    -6.2240  1.4747  5.9386  1.4775
        HEBT1:HEBT_Mag:DCH06:4:drift  23.36437    -5.5441  1.4747  6.6198  1.4775
        HEBT1:HEBT_Mag:DCH06:5:drift  23.82541    -4.8642  1.4747  7.3010  1.4775
        HEBT1:HEBT_Mag:DCH06:6:drift  24.28646    -4.1843  1.4747  7.9822  1.4775
        HEBT1:HEBT_Mag:DCH06:7:drift  24.74750    -3.5043  1.4747  8.6634  1.4775
            HEBT_Mag:QV07_fringe_out  25.25250    -3.0682  0.2792  8.5909  -1.7600
         HEBT1:HEBT_Mag:QV07:1:drift  25.38320    -3.0317  0.2792  8.3609  -1.7600
       HEBT1:HEBT_Diag:BPM07:1:drift  25.52019    -2.9935  0.2792  8.1197  -1.7600
        HEBT1:HEBT_Mag:DCV07:1:drift  25.98124    -2.8647  0.2792  7.3083  -1.7600
        HEBT1:HEBT_Mag:DCV07:2:drift  26.44228    -2.7360  0.2792  6.4968  -1.7600
        HEBT1:HEBT_Mag:DCV07:3:drift  26.90332    -2.6072  0.2792  5.6854  -1.7600
        HEBT1:HEBT_Mag:DCV07:4:drift  27.36437    -2.4785  0.2792  4.8739  -1.7600
        HEBT1:HEBT_Mag:DCV07:5:drift  27.82541    -2.3498  0.2792  4.0625  -1.7600
        HEBT1:HEBT_Mag:DCV07:6:drift  28.28646    -2.2210  0.2792  3.2510  -1.7600
        HEBT1:HEBT_Mag:DCV07:7:drift  28.74750    -2.0923  0.2792  2.4395  -1.7600
            HEBT_Mag:QH08_fringe_out  29.25250    -1.7900  0.9018  1.7244  -1.1099
         HEBT1:HEBT_Mag:QH08:1:drift  29.38320    -1.6722  0.9018  1.5793  -1.1099
       HEBT1:HEBT_Diag:BPM08:1:drift  29.52019    -1.5486  0.9018  1.4273  -1.1099
        HEBT1:HEBT_Mag:DCH08:1:drift  29.98124    -1.1329  0.9018  0.9156  -1.1099
        HEBT1:HEBT_Mag:DCH08:2:drift  30.44228    -0.7171  0.9018  0.4038  -1.1099
        HEBT1:HEBT_Mag:DCH08:3:drift  30.90332    -0.3014  0.9018  -0.1079  -1.1099
        HEBT1:HEBT_Mag:DCH08:4:drift  31.36437    0.1144  0.9018  -0.6196  -1.1099
        HEBT1:HEBT_Mag:DCH08:5:drift  31.82541    0.5301  0.9018  -1.1313  -1.1099
        HEBT1:HEBT_Mag:DCH08:6:drift  32.28646    0.9459  0.9018  -1.6430  -1.1099
        HEBT1:HEBT_Mag:DCH08:7:drift  32.74750    1.3616  0.9018  -2.1547  -1.1099
            HEBT_Mag:QV09_fringe_out  33.25250    1.9260  1.3597  -2.5505  -0.4387
         HEBT1:HEBT_Mag:QV09:1:drift  33.38320    2.1037  1.3597  -2.6078  -0.4387
       HEBT1:HEBT_Diag:BPM09:1:drift  33.87285    2.7695  1.3597  -2.8227  -0.4387
       HEBT1:HEBT_Diag:BPM09:2:drift  34.36250    3.4353  1.3597  -3.0375  -0.4387
        HEBT1:HEBT_Diag:WS09:1:drift  34.83950    4.0839  1.3597  -3.2468  -0.4387
